nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,label
90,42,43,20.8,82,6.5,202,Rice
85,58,41,21.7,80,6.6,210,Rice
60,55,44,23.0,60,6.0,110,Maize
62,50,40,24.5,65,6.3,120,Maize
40,60,20,18.5,70,6.2,90,Chickpea
42,62,22,19.0,68,6.5,95,Chickpea
20,40,20,30.0,85,5.5,200,Cotton
22,38,18,31.0,80,5.8,210,Cotton
25,45,30,27.0,75,6.0,150,Jute
28,48,35,28.0,78,6.2,160,Jute
80,40,40,25.0,85,6.5,180,Sugarcane
82,42,45,26.0,88,6.8,200,Sugarcane
50,30,30,22.0,60,6.0,100,Wheat
52,32,28,21.5,58,6.2,90,Wheat
55,35,30,23.0,65,6.5,120,Barley
57,38,32,24.0,67,6.3,130,Barley
45,25,20,20.0,55,6.0,80,Millet
48,28,22,21.0,60,6.2,85,Millet
65,45,35,26.0,70,6.5,140,Soybean
68,48,38,27.0,72,6.8,150,Soybean
70,50,40,28.0,75,6.0,160,Sunflower
72,52,42,29.0,78,6.2,170,Sunflower
35,20,15,18.0,50,5.8,70,Peanut
38,22,18,19.0,55,6.0,75,Peanut
90,60,60,30.0,80,6.5,250,Banana
95,65,65,31.0,82,6.8,260,Banana
85,55,55,28.0,78,6.2,220,Mango
88,58,58,29.0,80,6.5,230,Mango
60,40,30,25.0,70,6.0,150,Tomato
62,42,32,26.0,72,6.3,160,Tomato
55,35,25,24.0,65,6.2,140,Potato
58,38,28,25.0,68,6.5,150,Potato
50,30,20,22.0,60,6.0,120,Onion
52,32,22,23.0,62,6.3,130,Onion
45,25,20,20.0,55,6.0,100,Garlic
48,28,22,21.0,58,6.2,110,Garlic
65,45,35,27.0,75,6.5,180,Watermelon
68,48,38,28.0,78,6.8,190,Watermelon
70,50,40,29.0,80,6.2,200,Muskmelon
72,52,42,30.0,82,6.5,210,Muskmelon
60,35,30,24.0,65,6.0,140,Cabbage
62,38,32,25.0,68,6.3,150,Cabbage
55,30,25,23.0,60,6.2,130,Carrot
58,32,28,24.0,62,6.5,140,Carrot
50,28,20,22.0,58,6.0,120,Spinach
52,30,22,23.0,60,6.3,130,Spinach
65,40,35,26.0,70,6.5,160,Coffee
68,42,38,27.0,72,6.8,170,Coffee
